id;user_name;content;date;review_id
1;mobile Fish;../fake-data/blob/hipster.txt;2019-12-01T10:43:36;1
2;Savings Account Dam;../fake-data/blob/hipster.txt;2019-12-02T03:02:23;2
3;Trace;../fake-data/blob/hipster.txt;2019-12-01T21:25:49;3
4;Metal deposit;../fake-data/blob/hipster.txt;2019-12-02T04:05:07;4
5;transmitter Implementation Electronics;../fake-data/blob/hipster.txt;2019-12-01T05:37:35;5
6;Money Market Account;../fake-data/blob/hipster.txt;2019-12-01T14:45:35;6
7;Grocery Home;../fake-data/blob/hipster.txt;2019-12-01T16:50:41;7
8;enable Gorgeous Frozen Pants;../fake-data/blob/hipster.txt;2019-12-01T23:51:10;8
9;Licensed Savings Account;../fake-data/blob/hipster.txt;2019-12-01T20:15:37;9
10;Planner Canyon;../fake-data/blob/hipster.txt;2019-12-01T08:48:03;10
